                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.93859,                0.53467,                 1.1544,                0.87094,                0.90284,                0.90845,                 0.6592,                0.99376,                0.43156,                 1.1196,              0.0087328,              0.0087328,              0.0087328
                     66,                 0.9348,                0.53897,                 1.1643,                0.87142,                0.90242,                0.90788,                0.65934,                0.99352,                0.43183,                 1.1197,               0.008713,               0.008713,               0.008713
                     67,                0.93894,                0.53712,                 1.1584,                0.87365,                0.89875,                0.90755,                 0.6573,                0.99355,                0.43124,                  1.119,              0.0086932,              0.0086932,              0.0086932
                     68,                0.93657,                0.53361,                 1.1527,                0.87459,                0.90393,                  0.908,                0.65816,                0.99328,                0.43075,                 1.1171,              0.0086734,              0.0086734,              0.0086734
                     69,                 0.9301,                0.53309,                 1.1508,                0.87468,                0.89926,                0.90831,                0.65778,                0.99239,                0.42975,                  1.116,              0.0086536,              0.0086536,              0.0086536
                     70,                0.93202,                0.53347,                 1.1618,                0.87949,                0.89901,                0.90858,                0.65867,                0.99164,                0.42931,                 1.1157,              0.0086338,              0.0086338,              0.0086338
                     71,                0.93571,                0.53731,                 1.1597,                0.87732,                0.90245,                0.90863,                0.65858,                0.99131,                0.42902,                 1.1153,               0.008614,               0.008614,               0.008614
                     72,                0.93492,                0.53543,                 1.1599,                0.88087,                0.89806,                0.90884,                0.65971,                0.99158,                0.42864,                 1.1158,              0.0085942,              0.0085942,              0.0085942
                     73,                0.93149,                0.53476,                 1.1628,                0.87791,                0.90215,                0.91017,                0.66023,                0.99187,                0.42848,                 1.1159,              0.0085744,              0.0085744,              0.0085744
                     74,                 0.9336,                0.53375,                 1.1544,                0.87852,                0.89985,                0.90995,                0.66068,                0.99131,                0.42856,                 1.1151,              0.0085546,              0.0085546,              0.0085546
                     75,                0.93069,                0.53305,                 1.1563,                0.87699,                0.90143,                0.91101,                0.66127,                0.99176,                 0.4284,                 1.1155,              0.0085348,              0.0085348,              0.0085348
                     76,                 0.9275,                0.52993,                 1.1551,                0.88233,                0.89617,                0.91011,                0.66065,                0.99161,                0.42782,                  1.116,               0.008515,               0.008515,               0.008515
                     77,                0.92902,                0.53288,                 1.1585,                0.88276,                0.89617,                0.91113,                0.66105,                0.99157,                0.42653,                 1.1164,              0.0084952,              0.0084952,              0.0084952
                     78,                0.92466,                 0.5273,                 1.1436,                0.88397,                 0.8958,                0.91145,                0.66179,                0.99085,                0.42592,                 1.1145,              0.0084754,              0.0084754,              0.0084754
                     79,                0.93045,                 0.5338,                 1.1501,                 0.8849,                0.89771,                0.91142,                0.66276,                0.99062,                0.42481,                 1.1135,              0.0084556,              0.0084556,              0.0084556
                     80,                0.92069,                0.52818,                 1.1448,                0.88581,                0.89771,                0.91245,                0.66144,                0.99091,                0.42463,                 1.1126,              0.0084358,              0.0084358,              0.0084358
                     81,                0.92325,                0.52491,                 1.1445,                0.88296,                0.89874,                0.91301,                0.66208,                0.99115,                0.42383,                 1.1119,               0.008416,               0.008416,               0.008416
                     82,                0.92078,                0.52868,                 1.1514,                0.88377,                0.89898,                0.91312,                0.66335,                 0.9919,                0.42375,                  1.112,              0.0083962,              0.0083962,              0.0083962
                     83,                0.92784,                0.52836,                 1.1535,                0.88237,                0.89731,                0.91294,                0.66362,                 0.9919,                0.42369,                 1.1123,              0.0083764,              0.0083764,              0.0083764
                     84,                0.92103,                  0.524,                 1.1419,                0.88342,                0.89907,                0.91194,                0.66187,                0.99167,                0.42303,                 1.1114,              0.0083566,              0.0083566,              0.0083566
                     85,                0.92747,                0.52454,                 1.1543,                 0.8875,                0.89879,                0.91145,                0.66164,                0.99224,                0.42248,                 1.1126,              0.0083368,              0.0083368,              0.0083368
                     86,                0.92353,                0.52793,                 1.1597,                0.88191,                0.90316,                0.90991,                0.65928,                0.99286,                0.42251,                 1.1142,               0.008317,               0.008317,               0.008317
                     87,                 0.9216,                0.52461,                 1.1539,                0.88393,                0.90325,                0.91243,                0.66133,                0.99331,                 0.4219,                 1.1159,              0.0082972,              0.0082972,              0.0082972
                     88,                0.92071,                0.52564,                 1.1487,                0.88347,                0.90154,                0.91214,                0.66066,                0.99322,                0.42201,                 1.1161,              0.0082774,              0.0082774,              0.0082774
                     89,                0.91902,                0.52721,                 1.1516,                0.88328,                0.90382,                 0.9123,                0.66149,                0.99354,                0.42189,                 1.1168,              0.0082576,              0.0082576,              0.0082576
                     90,                0.92287,                0.52413,                 1.1419,                0.88163,                0.90326,                0.91196,                0.66123,                0.99441,                0.42204,                 1.1167,              0.0082378,              0.0082378,              0.0082378
                     91,                0.92068,                0.52435,                 1.1412,                0.88222,                0.90216,                 0.9119,                0.66286,                0.99431,                0.42207,                 1.1159,               0.008218,               0.008218,               0.008218
                     92,                 0.9187,                0.52169,                 1.1444,                0.88383,                0.90221,                0.91023,                0.65964,                0.99375,                0.42153,                 1.1151,              0.0081982,              0.0081982,              0.0081982
                     93,                0.91464,                0.52442,                 1.1438,                0.88402,                0.90372,                0.91006,                0.66088,                0.99362,                0.42085,                 1.1146,              0.0081784,              0.0081784,              0.0081784
                     94,                0.91854,                0.52031,                 1.1412,                0.88271,                0.90235,                0.91092,                 0.6602,                 0.9939,                0.42107,                 1.1146,              0.0081586,              0.0081586,              0.0081586
                     95,                0.92035,                0.52365,                 1.1466,                0.88425,                0.90352,                0.91082,                0.65922,                0.99411,                0.42134,                 1.1147,              0.0081388,              0.0081388,              0.0081388
                     96,                0.91839,                0.52103,                 1.1427,                0.88359,                0.90337,                0.91219,                0.66104,                0.99447,                0.42127,                 1.1146,               0.008119,               0.008119,               0.008119
                     97,                0.91421,                0.52099,                 1.1439,                 0.8833,                0.90152,                0.91247,                0.66112,                0.99483,                 0.4214,                 1.1148,              0.0080992,              0.0080992,              0.0080992
                     98,                0.91827,                0.52313,                 1.1419,                0.88382,                0.90238,                0.91338,                0.66074,                0.99433,                0.42129,                 1.1141,              0.0080794,              0.0080794,              0.0080794
                     99,                0.91687,                0.52116,                 1.1433,                0.88255,                0.90397,                0.91266,                0.66004,                0.99377,                0.42098,                 1.1134,              0.0080596,              0.0080596,              0.0080596
                    100,                0.90716,                0.51818,                 1.1367,                0.88488,                0.90175,                0.91193,                 0.6599,                0.99331,                0.42059,                 1.1128,              0.0080398,              0.0080398,              0.0080398
                    101,                0.91242,                 0.5207,                 1.1468,                0.88525,                0.90315,                0.91261,                  0.661,                0.99298,                0.42011,                  1.113,                0.00802,                0.00802,                0.00802
                    102,                0.91449,                0.51923,                 1.1482,                0.88276,                0.90397,                0.91328,                0.66149,                0.99385,                0.42041,                 1.1137,              0.0080002,              0.0080002,              0.0080002
                    103,                0.91401,                0.51912,                 1.1382,                0.87776,                0.90489,                0.91361,                 0.6619,                0.99378,                0.42004,                 1.1136,              0.0079804,              0.0079804,              0.0079804
                    104,                0.90686,                0.51969,                 1.1407,                0.87967,                0.90456,                0.91373,                0.66225,                0.99412,                0.41904,                  1.114,              0.0079606,              0.0079606,              0.0079606
                    105,                0.91066,                0.51431,                 1.1345,                0.87651,                0.90591,                0.91344,                0.66234,                0.99435,                0.41843,                 1.1133,              0.0079408,              0.0079408,              0.0079408
                    106,                0.91024,                0.51521,                 1.1344,                0.87713,                0.90814,                0.91421,                0.66127,                0.99457,                0.41817,                 1.1125,               0.007921,               0.007921,               0.007921
                    107,                0.91005,                0.51634,                 1.1415,                0.87714,                0.91101,                0.91488,                0.66252,                0.99484,                0.41796,                 1.1122,              0.0079012,              0.0079012,              0.0079012
                    108,                 0.9122,                0.52094,                 1.1427,                0.87731,                0.91076,                0.91479,                0.66207,                0.99472,                0.41757,                 1.1114,              0.0078814,              0.0078814,              0.0078814
                    109,                0.90982,                0.52023,                 1.1429,                0.87746,                0.91122,                0.91498,                0.66268,                0.99461,                 0.4174,                 1.1113,              0.0078616,              0.0078616,              0.0078616
                    110,                0.90967,                0.51644,                 1.1445,                0.87838,                 0.9116,                0.91523,                0.66349,                0.99469,                0.41763,                 1.1116,              0.0078418,              0.0078418,              0.0078418
                    111,                0.90719,                0.51288,                 1.1413,                0.88071,                0.91096,                0.91573,                0.66374,                0.99481,                0.41734,                 1.1117,               0.007822,               0.007822,               0.007822
                    112,                0.90948,                0.51525,                 1.1361,                0.88091,                 0.9111,                0.91608,                0.66456,                0.99458,                0.41646,                 1.1113,              0.0078022,              0.0078022,              0.0078022
                    113,                0.90751,                0.51724,                 1.1377,                0.88122,                0.91286,                0.91584,                 0.6647,                 0.9944,                 0.4171,                 1.1112,              0.0077824,              0.0077824,              0.0077824
